Model_Backbone,Accuracy_and_Depth,Logical_Fluency,Visual_Relevance,Element_Layout,Visual_Consistency,Composite_Quality_Score
GPT-5_Single_Agent,4.75,4.72,4.69,4.71,4.66,4.71
GPT-5_Multi_Agent_Collaborative_Scene_Generation_System,4.81,4.77,4.74,4.76,4.71,4.77
Gemini_3.0_Pro_Single_Agent,4.70,4.74,4.78,4.67,4.80,4.73
Gemini_3.0_Pro_Multi_Agent_Collaborative_Scene_Generation_System,4.77,4.75,4.83,4.72,4.86,4.78
Qwen3-VL-Plus_Single_Agent,4.58,4.66,4.64,4.72,4.60,4.64
Qwen3-VL-Plus_Multi_Agent_Collaborative_Scene_Generation_System,4.69,4.71,4.70,4.81,4.66,4.72
o4-mini_Single_Agent,4.49,4.44,4.58,4.63,4.50,4.52
o4-mini_Multi_Agent_Collaborative_Scene_Generation_System,4.60,4.51,4.65,4.68,4.56,4.60
Human_Reference,4.91,4.87,4.86,4.89,4.88,4.89
