Model_Backbone,Accuracy_and_Depth,Logical_Fluency,Visual_Relevance,Element_Layout,Visual_Consistency,Composite_Quality_Score
GPT-5_Single_Agent,4.60,4.55,4.52,4.53,4.44,4.54
GPT-5_Multi_Agent_Collaborative_Scene_Generation_System,4.76,4.65,4.63,4.66,4.55,4.67
Gemini_3.0_Pro_Single_Agent,4.55,4.57,4.69,4.48,4.71,4.59
Gemini_3.0_Pro_Multi_Agent_Collaborative_Scene_Generation_System,4.66,4.63,4.76,4.58,4.78,4.67
Qwen3-VL-Plus_Single_Agent,4.38,4.49,4.50,4.67,4.45,4.49
Qwen3-VL-Plus_Multi_Agent_Collaborative_Scene_Generation_System,4.61,4.56,4.60,4.76,4.53,4.62
o4-mini_Single_Agent,4.18,4.27,4.30,4.45,4.24,4.28
o4-mini_Multi_Agent_Collaborative_Scene_Generation_System,4.45,4.42,4.47,4.60,4.40,4.47
Human_Reference,4.86,4.83,4.82,4.85,4.84,4.84
