Model_Backbone,Accuracy_and_Depth,Logical_Fluency,Visual_Relevance,Element_Layout,Visual_Consistency,Composite_Quality_Score
GPT-5_Single_Agent,4.46,4.43,4.39,4.40,4.31,4.41
GPT-5_Multi_Agent_Collaborative_Scene_Generation_System,4.72,4.60,4.56,4.62,4.52,4.62
Gemini_3.0_Pro_Single_Agent,4.35,4.40,4.57,4.34,4.60,4.43
Gemini_3.0_Pro_Multi_Agent_Collaborative_Scene_Generation_System,4.54,4.49,4.70,4.44,4.71,4.56
Qwen3-VL-Plus_Single_Agent,4.24,4.34,4.40,4.57,4.34,4.37
Qwen3-VL-Plus_Multi_Agent_Collaborative_Scene_Generation_System,4.50,4.44,4.57,4.69,4.44,4.53
o4-mini_Single_Agent,3.99,4.08,4.15,4.24,4.10,4.10
o4-mini_Multi_Agent_Collaborative_Scene_Generation_System,4.35,4.31,4.41,4.46,4.28,4.36
Human_Reference,4.83,4.77,4.79,4.78,4.80,4.80
